gene,base_mean,log2fc,lfc_se,stat,pvalue,padj
MAMDC2,544.56,-0.66,0.13,-4.97,6.82E-07,7.26E-05
C7,127.67,1.05,0.21,4.96,6.93E-07,7.33E-05
GPC5,58.99,-0.73,0.15,-4.96,7.01E-07,7.36E-05
LCE2B,506.78,1.32,0.27,4.96,7.03E-07,7.36E-05
CD53,141.94,0.85,0.17,4.95,7.24E-07,7.55E-05
HOXB3,66.09,-0.80,0.16,-4.94,7.67E-07,7.95E-05
PTPRT,341.01,-0.51,0.10,-4.94,7.83E-07,8.07E-05
GRIA4,136.79,-0.72,0.14,-4.93,8.15E-07,8.28E-05
PHYHIPL,97.81,-0.78,0.16,-4.93,8.35E-07,8.43E-05
RUBCNL,78.95,0.84,0.17,4.92,8.71E-07,8.66E-05
PPP1R1C,166.77,-0.95,0.19,-4.92,8.83E-07,8.74E-05
HSPA2,2565.50,-0.70,0.14,-4.91,9.07E-07,8.94E-05
ADIPOQ,115.91,-0.84,0.17,-4.89,9.91E-07,9.62E-05
CDH12,127.63,-0.79,0.16,-4.88,1.04E-06,9.89E-05
IL37,154.89,0.73,0.15,4.88,1.04E-06,9.89E-05
RPL9P16,119.64,-0.70,0.14,-4.88,1.07E-06,1.01E-04
MMP19,241.94,0.65,0.13,4.88,1.08E-06,1.01E-04
TSSK1B,76.39,-0.83,0.17,-4.88,1.08E-06,1.01E-04
ALOX5,167.45,0.59,0.12,4.87,1.13E-06,1.05E-04
SEZ6L,252.75,-0.63,0.13,-4.86,1.15E-06,1.06E-04
IGLV3-21,11.75,2.78,0.57,4.86,1.17E-06,1.08E-04
NPPC,52.11,-1.39,0.29,-4.85,1.22E-06,1.11E-04
TBX18,310.16,-0.74,0.15,-4.83,1.37E-06,1.21E-04
PFKFB4,685.07,0.71,0.15,4.82,1.45E-06,1.28E-04
PRKCB,184.77,0.94,0.20,4.81,1.49E-06,1.29E-04
EFNA5,2568.60,-0.63,0.13,-4.81,1.52E-06,1.29E-04
AL033519.2,33.44,1.27,0.27,4.81,1.54E-06,1.30E-04
TBC1D2,502.06,0.52,0.11,4.80,1.56E-06,1.31E-04
STXBP6,242.44,0.70,0.15,4.80,1.58E-06,1.32E-04
ATP8A2,352.31,-0.80,0.17,-4.79,1.64E-06,1.35E-04
SYTL5,139.96,-0.78,0.16,-4.78,1.75E-06,1.43E-04
TPSAB1,169.47,0.79,0.17,4.78,1.77E-06,1.44E-04
EGLN3,2053.98,0.57,0.12,4.77,1.80E-06,1.46E-04
GAS1,1280.41,-0.63,0.13,-4.75,2.01E-06,1.57E-04
FUT3,162.09,0.71,0.15,4.75,2.03E-06,1.58E-04
AZGP1P1,265.15,0.64,0.14,4.72,2.37E-06,1.80E-04
GASK1B,1124.77,-0.55,0.12,-4.71,2.49E-06,1.88E-04
CA9,88.86,0.94,0.20,4.66,3.14E-06,2.30E-04
OXGR1,113.90,-0.93,0.20,-4.66,3.16E-06,2.30E-04
LCE2C,375.52,1.40,0.30,4.65,3.29E-06,2.38E-04
